"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1981,195488,194851,194847,195126,195937,197512,194919,203852,198172,194773
1982,347550,346769,346766,346138,346514,348716,346847,357325,357800,346238
1983,411489,411306,411305,411404,411435,411364,411326,414500,417959,411244
1984,408003,407822,407819,407640,407561,409789,407850,424323,429418,407736
1985,78772,79068,79071,78894,79191,80129,79061,83263,85896,79107
1986,246540,246118,246110,246114,246840,250013,246185,255004,253777,245113
1987,135597,137100,137116,137095,137567,138392,136982,138686,135595,136914
1988,126431,131079,131078,131067,131593,129845,131043,129207,124435,130869
1989,104393,103554,103612,104608,103596,104907,104545,110582,105774,103636
1990,94070,94854,94838,94850,95605,98426,94921,100584,95076,93793
1991,102199,100489,103715,100793,101243,101151,100009,103861,100287,99101
1992,135600,135117,136394,134345,134846,135917,135201,141416,135755,134871
1993,185038,185498,184531,184768,185100,187134,185506,194267,188600,185639
1994,59545,59719,59788,59743,60089,61370,59695,61636,60014,59437
1995,233886,233391,234179,233479,234205,236308,233672,249242,237765,233322
1996,222308,220258,220264,220211,220342,224260,220231,227442,224531,220369
1997,326777,327348,327540,327801,328157,329789,327437,337175,328109,326992
1998,323147,322406,322903,322586,323150,326509,322673,330575,325603,322176
1999,343181,343006,343162,343063,343191,345829,343052,353929,366926,342980
2000,213281,213630,213747,213813,214601,218108,213632,223468,216010,213275
