"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1981,69985,69757,69755,69854,70147,70709,69780,72979,70945,69727
1982,124422,124140,124139,123917,124049,124838,124168,127923,128091,123951
1983,147311,147246,147245,147282,147291,147268,147253,148392,149632,147226
1984,146064,145999,145996,145932,145906,146703,146009,151909,153729,145966
1985,28200,28306,28305,28243,28350,28686,28301,29808,30750,28320
1986,88261,88113,88110,88108,88370,89506,88135,91290,90851,87753
1987,48546,49083,49089,49081,49250,49546,49040,49651,48545,49017
1988,45260,46927,46927,46924,47109,46482,46915,46256,44546,46852
1989,37371,37072,37092,37448,37085,37555,37427,39589,37868,37101
1990,33678,33958,33953,33956,34229,35236,33982,36010,34039,33579
1991,36586,35974,37130,36083,36244,36213,35801,37183,35901,35478
1992,48544,48371,48828,48097,48275,48660,48403,50626,48601,48285
1993,66245,66408,66062,66147,66266,66995,66412,69547,67517,66459
1994,21315,21379,21404,21386,21510,21968,21369,22067,21486,21278
1995,83732,83555,83834,83584,83846,84599,83654,89230,85121,83530
1996,79586,78852,78853,78834,78881,80285,78840,81424,80382,78891
1997,116984,117190,117259,117350,117478,118063,117223,120708,117462,117062
1998,115687,115422,115600,115486,115689,116891,115518,118345,116566,115339
1999,122859,122795,122852,122815,122861,123807,122811,126707,131358,122788
2000,76351,76478,76522,76544,76826,78081,76480,80000,77330,76353
