"Year","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
1980,9562,9557,9566,9566,9562,9563,9566,9559,9562
1981,7713,7714,7713,7713,7714,7713,7711,7713,7713
1982,7773,7796,7776,7776,7786,7811,7792,7802,7809
1983,10483,10544,10494,10494,10515,10565,10564,10555,10562
1984,10424,10465,10433,10433,10440,10453,10498,10460,10459
1985,9263,9275,9268,9268,9267,9261,9329,9274,9263
1986,7536,7539,7535,7535,7531,7541,7595,7533,7532
1987,8961,8991,9004,9004,8996,9029,9102,8938,8955
1988,14247,14272,14330,14330,14332,14388,14517,14215,14272
1989,12898,12843,12953,12953,12969,13021,13119,12891,12972
1990,8210,8182,8225,8226,8266,8278,8301,8238,8329
1991,8639,8695,8688,8688,8738,8745,8874,8721,8841
1992,9941,10047,10123,10067,10127,10161,10399,10060,10174
1993,10764,10930,11058,10909,10990,11011,11134,10869,10923
1994,12707,12816,12885,12784,12782,12784,12876,12754,12747
1995,11564,11550,11567,11579,11514,11518,11673,11556,11547
1996,9436,9405,9426,9446,9405,9425,9548,9419,9436
1997,12791,12811,12798,12796,12788,12801,12924,12799,12813
1998,14081,14110,14081,14081,14078,14075,14222,14103,14112
1999,12613,12611,12617,12616,12618,12615,12724,12631,12634
