"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","11",-0.00150536335075798,0.000421093225275727,0.000825187508756451,0.0010690809064505,0.000613412494868016,-0.000839546776404429,0.000346457323769192
"All","12",0.000784046417067235,0.000522933535210586,0.000389343626540632,0.000444491939973591,0.000288848849325428,0.00106946395666591,0.000860989708746053
"All","1",0.00021984255995892,0.00133563871355354,0.000995314671354437,0.000247974427964844,0.000316549494999242,0.000788472602873442,0.000625348681008195
"All","2",-0.000195207222150549,-0.000280647841141256,0.000771199117233721,-0.000277299544849909,-0.000280126529261317,-0.000231188739377334,-0.000275358695556081
"All","3",0.000408566517602594,-0.000147621681971265,-0.000199370690292989,-0.000161078896602304,-4.16984352243569e-05,-0.000880750121309772,5.73978218678764e-05
"All","4",0.000283804594117599,0.00109909892709677,0.00147112826816465,0.00196067977068696,0.00268441692667451,0.000459668185869539,0.0011519688613172
"All","5",0.000223609017697859,-0.000526042484715882,-0.000392927586672983,-0.000493839897814528,-0.000339599634601603,0.00068240596535162,-0.000498401657356322
"C","11",0.000459504417372819,0.00125567552892319,0.00216335341154295,0.00235881820301263,0.00173957158491833,-0.000161111004216676,0.00102997784108027
"C","12",0.00241677401318694,0.00110275983768687,0.00049347733341199,0.0023467096032577,0.00174031648385809,0.00213838065446595,0.00256558290304877
"C","1",-6.90322099427644e-05,0.00260753940320033,0.00119013872618705,-0.00182471828588259,-0.00158435924325465,0.00213947713540957,0.00183406489396335
"C","2",0.00023383309913354,-0.00115512077697022,0.00307216001425519,-0.00112184823975739,-0.0011318274817625,-0.00202658908613668,-0.001137112085596
"C","3",0.00216759548281521,-0.000810781166507691,-0.000845616505935672,-0.000811749370833559,-0.000383055509015914,-0.0033588716578217,1.18239749735123e-05
"C","4",0.002181394655902,0.00398866978975799,0.00549135949342188,0.00686367862681795,0.00852864216701013,0.00137735423142403,0.00394688441007895
"C","5",0.000988184067836375,-0.00138450288636154,-0.000886093084648658,-0.000799651263292351,0.000315746524503788,-0.00204904225394347,-0.00131315676835793
"D","11",-0.00270265619664425,-0.000638934779137936,-0.000602671206009238,0.00117087322541326,0.00116651053501209,0.000758176866350134,-0.000623629363377632
"D","12",-0.00214628517720425,0.00132143385872119,0.00140862494337665,-0.000649179949280041,-0.00064977495848361,0.000125364988790408,0.000968342074775702
"D","1",0.000688392395225885,0.00292307377750421,0.00299588506668873,0.00307378712645036,0.00311861722148766,0.000777900442661363,0.000360589665758396
"D","2",-0.00118564632957169,7.10588876609927e-05,4.56566947392588e-05,4.53502453107572e-05,4.33838359995523e-05,0.00129095472619863,7.31188895867363e-05
"D","3",0.000880604894940114,0.000205912755909571,0.000202250534459113,0.00020194954987597,0.000254511570576149,0.00082098673500982,0.000204553442338742
"D","4",0.000117264516311065,-4.52473405332165e-05,-4.72789888114993e-05,0.000635174845885435,0.000996120427769698,-0.00479260130517208,0.000277736544172408
"D","5",-0.000321712521931062,-0.000658539596300452,-0.000635564578601636,-0.00137125548786082,-0.00257922304000538,-0.00287843577814454,-0.000614465695571836
"AN","11",-0.00700850838883874,0.00193607625070597,0.00311282268329306,0.00330047425859132,0.00332461777160792,-0.00413232560309417,0.00256443669835127
"AN","12",0.00646777982778567,-0.000461490011283843,-0.000447267263294409,-0.000414479433221533,-0.000416534117002345,0.00323154609731185,-5.86219495685226e-05
"AN","1",0.00120898158897283,0.000863534591528153,0.0008578159535076,0.000765839157154349,0.000761072976556297,0.000824151349115845,0.000816399545477785
"AN","2",-0.000168962998741617,-5.66818909608957e-05,-5.48801431209201e-05,-5.45666195822291e-05,-5.46114979268198e-05,-2.35762118695285e-05,-5.55998744592088e-05
"AN","3",-4.59739021999152e-05,1.21884137769364e-05,-0.000410834740648794,-0.000111780569940776,-9.52032409183486e-05,3.08762951038935e-05,6.35210154061588e-06
"AN","4",-0.000615461625148855,0.000143156674377054,0.000112789084051477,0.00019726587142056,0.00295250827009557,0.00742386936505524,0.000145973254076004
"AN","5",3.32269747027382e-05,-0.000416774702027981,-0.000383758519181258,-0.000458944493946768,0.000695612514636697,0.00837213157466371,-0.0003798478780821
"W","11",-0.000841814915585487,9.19516367724331e-05,0.000208090678488708,-0.000188453605416179,-0.00086045610371567,-0.00119479199011215,-9.49619622500177e-05
"W","12",-8.34342883122789e-05,6.48058100400424e-05,6.44488851269465e-05,6.49172833007059e-05,5.65820067630938e-05,0.000414953051145624,7.09288261559703e-05
"W","1",-4.76868400455022e-05,2.87653306409368e-05,2.87519541217941e-05,2.85308760749381e-05,2.85410984723318e-05,3.48712429262545e-05,2.9194995922172e-05
"W","2",7.58194074826686e-07,-9.5286944928502e-07,-9.58027039345292e-07,-1.04089482976359e-06,-8.95597353187743e-07,4.35914827243901e-05,-3.59335998423714e-07
"W","3",-0.000677289599969653,2.81180894019148e-05,2.8111668578549e-05,2.80632491496034e-05,2.81689616019293e-05,-0.000463072485521217,2.86599225124593e-05
"W","4",-0.000496397276871092,0.000215051863739263,0.000214701748310783,0.000218186001755481,0.000128916748338443,0.000736691313189082,0.000211573758923354
"W","5",8.35460310397838e-05,-1.45423134932228e-05,-1.31612605102845e-05,5.82589846350246e-05,6.17103772753165e-05,0.00207365890674854,-2.05478169902268e-05
