"WYT","Month","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","11",0.919453463606752,0.918681226057392,0.919927179275301,0.919391217720068,0.920420504475402,0.920328191390169,0.918992074086718,0.919825877991604
"All","12",0.920124340366603,0.921229585303064,0.920311623094116,0.920662660849413,0.920262887938349,0.920158559582459,0.920751835823677,0.920642854135442
"All","1",0.9228574643945,0.922736962369066,0.923294542174216,0.922716158843595,0.922444519172748,0.923258188097119,0.923490722842659,0.923120371677336
"All","2",0.929527957594743,0.929523483139042,0.929457101892846,0.929437275948058,0.929212968117039,0.929410036353039,0.929576923209921,0.929524572722285
"All","3",0.929876376779782,0.929771851036815,0.929822920558318,0.929844835811977,0.929939363532906,0.929836925454575,0.930180481298917,0.929867722845054
"All","4",0.922342041197126,0.923532186168513,0.92362991605572,0.923088159248926,0.923605135498668,0.924231842747566,0.924406126624624,0.92323837835458
"All","5",0.918825151046386,0.919442862552689,0.919350846200579,0.919383067567677,0.919222288071698,0.919623402575674,0.919794366071007,0.919295345036706
"C","11",0.910783451302022,0.911510728299611,0.913085359038665,0.911117530040706,0.913747989328688,0.913860678431274,0.910482557264582,0.912068461176677
"C","12",0.911884776131952,0.914828858139117,0.912076110957009,0.913496312217947,0.912492805792865,0.912184183801551,0.912506397064688,0.912296339115314
"C","1",0.915726594537638,0.914634721557922,0.917177839649095,0.914853572910506,0.913757285829704,0.916988468623299,0.917075611040318,0.917030952206134
"C","2",0.925830178580927,0.925796223835406,0.925596332586426,0.925519291455662,0.924695001494882,0.925500783588386,0.925503569530078,0.925606930018701
"C","3",0.924186203401551,0.924165149942899,0.924098327264306,0.924044958141851,0.924589435067453,0.924227605561269,0.924576095085163,0.924120554131703
"C","4",0.912138522241352,0.91732593965552,0.917211900217153,0.915014525136046,0.916859342072058,0.917843172722552,0.916039532251011,0.915003651215451
"C","5",0.909607062955199,0.911440986544795,0.91170113243125,0.911815678911728,0.91180394544338,0.91306851289259,0.911367278913152,0.911731916184922
"D","11",0.920510135681502,0.91927465610684,0.920003248084734,0.920009833331215,0.921224934296983,0.921061198364154,0.920543001834381,0.920195360191759
"D","12",0.917369923238402,0.917288180008363,0.91807616503558,0.918077846836829,0.917338724894981,0.917222932188074,0.917903197510411,0.91735830808323
"D","1",0.91433696678973,0.914615325260454,0.914683496921107,0.914686266386758,0.914726836700117,0.914714813836584,0.914837989456672,0.914045622067539
"D","2",0.923168104476409,0.923214452020689,0.923121060416535,0.923117945936281,0.923036164976288,0.923006406551242,0.923744709131379,0.923428906769422
"D","3",0.927542050455892,0.927490894761955,0.927554285640147,0.927555594522349,0.927566249165485,0.92761673306409,0.928331427826372,0.927615491136073
"D","4",0.91923388404957,0.919166398197439,0.919260109271366,0.919259749183941,0.919592666029961,0.921254723278609,0.921013953368344,0.920037263666061
"D","5",0.91738034359863,0.917538235078423,0.91720852632923,0.91720856119589,0.916501904148723,0.916646188828044,0.912442278836703,0.916864139189292
"AN","11",0.915916607272981,0.912134433004167,0.917397945378182,0.916952310844578,0.917491316240872,0.917847086394769,0.914105698228356,0.917407522303157
"AN","12",0.917294979022198,0.920535936566331,0.9171602525112,0.917115824446942,0.917175973275689,0.917174378817684,0.91897875868119,0.921188899567605
"AN","1",0.928142395588674,0.928468981439561,0.928291888741105,0.928312459858319,0.928258040125557,0.928341062156921,0.928793153026062,0.927713318959097
"AN","2",0.933844543626438,0.933794345789978,0.933831870664893,0.933830926194063,0.933832771649854,0.933834896010589,0.933896744541773,0.933826922317264
"AN","3",0.934386871800805,0.934096022355587,0.934044423908162,0.934393685695144,0.933954497828531,0.933747209002955,0.934514773397034,0.934277198537316
"AN","4",0.926814078898783,0.926261111581836,0.926721162628122,0.926797825038589,0.926697999754193,0.927302941731749,0.929126631723248,0.926769622988568
"AN","5",0.920952328348163,0.921620642800054,0.920899140447963,0.920934373985966,0.920878040759857,0.921782252953897,0.92572691611345,0.920941801171821
"W","11",0.92458647315033,0.923855932134899,0.924256434135267,0.924254749909313,0.924420863688325,0.924146829933429,0.924116143513023,0.924508752063928
"W","12",0.926554808408256,0.926691424688841,0.926580749103617,0.926580957739703,0.926565209296816,0.926556642917085,0.926992713749563,0.92661826174046
"W","1",0.929431517429504,0.929574041741197,0.929409320008022,0.929409480783967,0.929408947472762,0.929408893240633,0.929722015308088,0.929515949591967
"W","2",0.933449639314636,0.933449115993454,0.933445821325429,0.933446158394399,0.933441572406835,0.933444598988079,0.933472032326553,0.933454148071109
"W","3",0.933072730351411,0.932939516362535,0.933073420496435,0.933073575116734,0.933074011444651,0.933071014558099,0.933152654716997,0.933081702735961
"W","4",0.928398279859991,0.928314023237692,0.928450673076326,0.928450656942816,0.928448815109427,0.928421801640069,0.929512866035283,0.928451223374773
"W","5",0.924115741673431,0.924250899157334,0.924208763960277,0.924208884893267,0.924184704011383,0.92410846953673,0.926425331031185,0.924211906745411
