"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1980,81563,85853,85807,86804,88778,88808,85208,7911,90819,86010
1981,149468,149875,149854,146972,150319,147919,152012,22411,156600,149142
1982,223208,227007,226994,227474,228770,226516,225884,57059,224953,227058
1983,209839,218792,218739,218651,223917,218326,219186,29602,200794,218699
1984,171135,180661,180619,180278,184682,173488,181302,4758,184769,178101
1985,206002,222937,222879,218757,230944,217655,222954,1887,240158,221023
1986,268788,300577,300601,299807,306400,287114,296118,1496,295111,295945
1987,109874,110550,110633,110403,112459,113883,115340,97,127459,115415
1988,84166,101653,101446,99592,105915,96997,101600,38,142699,100488
1989,118027,141165,141161,142716,152668,133398,142775,39,185453,139576
1990,46045,51975,50647,49315,49112,51684,51546,43,63392,51333
1991,26205,31814,29505,32191,32143,29023,31259,2,32794,26166
1992,39200,41917,1562,9933,10767,42547,55938,41,58803,57809
1993,40367,41075,41053,40740,41707,40742,40995,59,53394,40499
1994,44270,48760,37840,39921,41270,51460,51238,31,55088,50873
1995,65937,62829,60067,60130,60291,65762,62716,153,65246,63339
1996,79793,81363,81106,80899,80828,81555,81572,272,78040,81526
1997,54088,57705,57684,57525,57479,58323,57621,560,58438,57538
1998,88440,89297,89034,88751,88672,89563,89166,84,86949,89390
1999,61541,63311,61237,60741,60837,62803,63112,709,63980,63121
