"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"All","9",0.00225052041873624,0.164445808042254,0.165597195163778,0.166484193765076,0.159076826104731,0.161304953167749,0.161577639339128
"All","10",0.10122420458819,0.181007186472482,0.180794284533588,0.178195194057307,0.173024043081558,0.174658007015197,0.174506852759322
"All","11",0.200246426871396,0.200814719016237,0.200348238759535,0.19995468970318,0.199865140908951,0.199962657059858,0.199906635560028
"All","12",0.202280442523133,0.201944917415323,0.201916377387474,0.202001208363569,0.201989142372081,0.202016585591514,0.201984741540996
"All","1",0.190297721093179,0.190053104275361,0.190183430131986,0.190192535102559,0.190193449735818,0.190176414118904,0.190179719364599
"All","2",0.190420622259457,0.190105783106262,0.190252901343081,0.190236129328243,0.19026852873885,0.190242238529314,0.190244636522839
"All","3",0.187477898754533,0.186457751240081,0.186860103224581,0.186905529478972,0.186905253375334,0.18691276973689,0.186928676838561
"All","4",0.164913322696643,0.159059003431269,0.161690626466404,0.164101915703231,0.164147992651773,0.164399504727856,0.164608709920871
"All","5",0.109750178152391,0.154234830278286,0.154575693484546,0.157895910312278,0.15807490475113,0.158084497440784,0.157951862946289
"C","9",0.000523397401942004,0.160059573428627,0.156774050372655,0.15990236618767,0.130181606902606,0.139706962269601,0.140308088847698
"C","10",0.0856777775851777,0.179843789492237,0.176015299604502,0.17909176838885,0.176479538250668,0.179640637260133,0.179534751271264
"C","11",0.200386149855704,0.200943217153565,0.199239264481496,0.199978734113525,0.199411064792353,0.200087163485384,0.200092300163957
"C","12",0.202102913766991,0.20167165393146,0.201680401139335,0.20196514449091,0.201905793989324,0.202005698273403,0.201884074476433
"C","1",0.190141205374617,0.189840852285865,0.190012703983893,0.190050127872221,0.190052643087308,0.189987150900295,0.189994758637338
"C","2",0.190214059741187,0.189827489382551,0.190134764253454,0.190104717267113,0.19022149042581,0.190109999943064,0.190114085603348
"C","3",0.181180852218968,0.178322618257793,0.179644317043709,0.17983275587926,0.179834021363508,0.179855874924996,0.179935120044026
"C","4",0.151038642235281,0.146461266549503,0.152676834370718,0.161116415667773,0.161628434671141,0.162105652868664,0.162606735317422
"C","5",0.0806137270813317,0.156307475625796,0.16551511189119,0.167993987903679,0.168030236540451,0.168252281843479,0.168405945735208
"D","9",0.00149721507839804,0.17542291105038,0.173912431734443,0.174198345859536,0.174241473285485,0.17360298902484,0.174079214547403
"D","10",0.0913465050022344,0.173963327723079,0.174478882521307,0.17342495939695,0.173099491254261,0.173729547420866,0.172764127246599
"D","11",0.199340273395243,0.200866578108705,0.200703601122545,0.200356130975112,0.200304056539206,0.200460724687075,0.200332446218496
"D","12",0.2020540296597,0.2016620790033,0.201582481434225,0.201745373360078,0.201751896767235,0.201745637698838,0.201746554867782
"D","1",0.190126250444811,0.18973863754961,0.189898605121779,0.189901111264056,0.189901395357549,0.189895566553163,0.189900772035057
"D","2",0.190538305034792,0.189705433417913,0.189881288293947,0.189836534921217,0.189851638081758,0.189855653334048,0.189858157538356
"D","3",0.19003099209369,0.189532001233276,0.189311436999379,0.189276450430658,0.189295919906343,0.189292294606666,0.189277208495413
"D","4",0.150765996373656,0.142967654504758,0.146617106244026,0.148077872530415,0.147696509019207,0.148356717489009,0.148385058819976
"D","5",0.0282473267304198,0.149078863232857,0.144239997165005,0.150949705047779,0.151696031442083,0.151206855825319,0.150316327357138
"AN","9",0.00124637545621635,0.157696119890379,0.158915135714453,0.158789562696991,0.15879751867296,0.158683436794007,0.158712582714228
"AN","10",0.120762749725974,0.181532656277994,0.181891102114143,0.153299213533732,0.107503907015875,0.115197648694459,0.115839769135967
"AN","11",0.200843043556447,0.198772288436284,0.197607171592115,0.195244642143418,0.195799061604569,0.194655282500081,0.194572700311902
"AN","12",0.202385966943931,0.202032318835648,0.201880959700824,0.20191930894049,0.201941686525464,0.201940668822352,0.201933724453882
"AN","1",0.190498029770572,0.19031454592191,0.190309937985748,0.190347157964771,0.190354039618102,0.190350982738189,0.190349664507661
"AN","2",0.190565164041732,0.190475549687853,0.190486900483353,0.19050649202648,0.190512224447108,0.190509785128142,0.190509565578574
"AN","3",0.190152835138427,0.190075616640529,0.190195910890769,0.190222576877427,0.1901770780226,0.190203465312474,0.190203940861776
"AN","4",0.176125648973789,0.169989328600012,0.168352770003665,0.168299161396175,0.16824784693782,0.168202589532605,0.16938695970308
"AN","5",0.158450877367558,0.160870106384185,0.158160174120808,0.160918531963843,0.161164618100555,0.161077047869832,0.161164773174215
"W","9",0.00376797890433221,0.163503823302185,0.168288183671733,0.168422170614561,0.168451950788191,0.168420602479954,0.168474479880667
"W","10",0.109909298264114,0.184667350948906,0.186012384259526,0.185349641616291,0.18563082125878,0.185515940770098,0.185525250174643
"W","11",0.200438956383948,0.201174156138836,0.201415522789867,0.200809590589854,0.200825904983477,0.200851540002419,0.200799558320333
"W","12",0.202456247677894,0.202203013884962,0.202203744101584,0.202153148166172,0.202151435263903,0.202159925780356,0.202157865562096
"W","1",0.190416370407789,0.190252686892848,0.190376754029072,0.190366811300478,0.190365790957046,0.190367588465285,0.190368686327748
"W","2",0.190450955362286,0.190356153573904,0.190431694605762,0.190426652943497,0.190425791269634,0.190428065253164,0.190430060125497
"W","3",0.18924711948269,0.188806966144278,0.189038101054891,0.189043983856185,0.189044125002063,0.189044434562356,0.189042357871765
"W","4",0.176417551034917,0.170780495628755,0.171917154721228,0.171949602534639,0.171948438858588,0.17195886457695,0.171869596349362
"W","5",0.151338207331595,0.153900395748549,0.15229533037037,0.154701375845374,0.154692616705657,0.154827446728594,0.154823630496973
