"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
"All","9",0.99912966350098,0.999476650452879,0.999653330710545,0.99965836810098,0.999658733852674,0.999651245381398,0.999653093487554,0.99963507870172
"All","10",0.999348493470127,0.99947554994238,0.999618963375071,0.999613212699976,0.999612629872048,0.999611883741441,0.99961126409804,0.999596596131063
"All","11",0.999583848824186,0.999604465305817,0.999707123926893,0.999717325689266,0.999702532312994,0.999728698899001,0.999718559142804,0.999715696582256
"All","12",0.999754605734987,0.99974101293969,0.999653748897342,0.999665609350362,0.999678783796621,0.99966510589468,0.999660686846391,0.999678888628169
"All","1",0.999833416515271,0.999753648941581,0.999755021592423,0.999776473138625,0.999762505991847,0.999758235598515,0.99978504144025,0.999771919138648
"All","2",0.999882554249031,0.999787819451445,0.999806742133446,0.999801752069706,0.999801747533482,0.999785124900137,0.999801905606829,0.999785703102583
"All","3",0.999931399816641,0.999833178141271,0.999834809022902,0.999831115523234,0.999831424452867,0.99985226128136,0.999834951938129,0.999856983054151
"All","4",0.999829991287872,0.999644730538091,0.999679012279857,0.999711382316595,0.999699614491761,0.999719185471095,0.999721364317919,0.999713298540319
"All","5",0.999720110868494,0.999749267156494,0.999796452070448,0.999784925629683,0.999784119140941,0.999783456629526,0.999790275010856,0.99979521489599
"C","9",0.998740474566038,0.999537651774457,0.999478089195318,0.999451530604266,0.999452691005404,0.999443737011641,0.999448780866688,0.999455634619294
"C","10",0.999256547367793,0.999483551847545,0.999495711447145,0.999496613018679,0.999496364918475,0.999481136590574,0.999494089468498,0.999482466438888
"C","11",0.999302719354345,0.999506645908633,0.999539356041914,0.999584562246033,0.999560886827845,0.999569097379065,0.999575616243609,0.999575067182041
"C","12",0.999496070693006,0.999534061347075,0.999406742262748,0.999435090971234,0.999487932266453,0.999456623590836,0.999437248498694,0.999447659146278
"C","1",0.999616429012016,0.99952648662519,0.999559850467123,0.999590380535175,0.999534423466032,0.999518023280854,0.999624951028565,0.999616820493872
"C","2",0.999724489710261,0.999577190998887,0.9996893910046,0.999668010625407,0.99966800519158,0.999602390067039,0.999668669042251,0.999603784508401
"C","3",0.999819255863143,0.999583071195682,0.999619791721591,0.999601412132699,0.999601850317478,0.999685881174608,0.999616371952063,0.999702501196003
"C","4",0.999604674008401,0.999460388323633,0.999426227883083,0.999548990145803,0.999501881286805,0.999567784260527,0.999549222923775,0.999545770250541
"C","5",0.999593278420095,0.999702132771779,0.999682530182106,0.999648931389597,0.999645463229125,0.999655575753931,0.999694167519947,0.999698871172415
