"watersheds","order","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"Upper Sacramento River",1,3264,1261,8120,7337,8133,7784,15730,17197,2487,2725,4416,1533,738,2578,5920,2627,3182,1409,795
"Antelope Creek",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battle Creek",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Creek",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Big Chico Creek",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte Creek",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clear Creek",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cottonwood Creek",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cow Creek",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deer Creek",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elder Creek",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mill Creek",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paynes Creek",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stony Creek",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomes Creek",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Upper-mid Sacramento River",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutter Bypass",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear River",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feather River",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yuba River",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lower-mid Sacramento River",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yolo Bypass",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American River",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lower Sacramento River",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calaveras River",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cosumnes River",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mokelumne River",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merced River",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stanislaus River",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuolumne River",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Joaquin River",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
